11g/10g: [10g] --- [11g]  
20g: [20g, 99480g, 11g] --- [99511g]  
99522g/800g: [800g, 99480g] --- [11g, 99511g]  
99522g/810g: [810g, 99480g] --- [11g, 99511g]  
99522g/820g: [820g, 99480g] --- [11g, 99511g]  
99522g/830g: [830g, 99480g] --- [11g, 99511g]  
99522g/840g: [840g, 99480g] --- [11g, 99511g]  
99522g/850g: [850g, 99480g] --- [11g, 99511g]  
99522g/860g: [860g, 99480g] --- [11g, 99511g]  
99522g/870g: [870g, 99480g] --- [11g, 99511g]  
99522g/880g: [880g, 99480g] --- [11g, 99511g]  
99522g/890g: [890g, 99480g] --- [11g, 99511g]  
99522g/900g: [900g, 99480g] --- [11g, 99511g]  
99522g/910g: [910g, 99480g] --- [11g, 99511g]  
99522g/920g: [920g, 99480g] --- [11g, 99511g]  
99522g/930g: [930g, 99480g] --- [11g, 99511g]  
99522g/940g: [940g, 99480g] --- [11g, 99511g]  
99522g/950g: [950g, 99480g] --- [11g, 99511g]  
99522g/960g: [960g, 99480g] --- [11g, 99511g]  
99522g/970g: [970g, 99480g] --- [11g, 99511g]  
99522g/980g: [980g, 99480g] --- [11g, 99511g]  
99522g/990g: [990g, 99480g] --- [11g, 99511g]  
99522g/1000g: [1000g, 99480g] --- [11g, 99511g]  
99522g/1010g: [1010g, 99480g] --- [11g, 99511g]  
99522g/1020g: [1020g, 99480g] --- [11g, 99511g]  
99522g/1030g: [1030g, 99480g] --- [11g, 99511g]  
99522g/1040g: [1040g, 99480g] --- [11g, 99511g]  
99522g/1050g: [1050g, 99480g] --- [11g, 99511g]  
99522g/1060g: [1060g, 99480g] --- [11g, 99511g]  
99522g/1070g: [1070g, 99480g] --- [11g, 99511g]  
99522g/1080g: [1080g, 99480g] --- [11g, 99511g]  
99522g/1090g: [1090g, 99480g] --- [11g, 99511g]  
99522g/1100g: [1100g, 99480g] --- [11g, 99511g]  
99522g/1110g: [1110g, 99480g] --- [11g, 99511g]  
99522g/1120g: [1120g, 99480g] --- [11g, 99511g]  
99522g/1130g: [1130g, 99480g] --- [11g, 99511g]  
99522g/1140g: [1140g, 99480g] --- [11g, 99511g]  
99522g/1150g: [1150g, 99480g] --- [11g, 99511g]  
99522g/1160g: [1160g, 99480g] --- [11g, 99511g]  
99522g/1170g: [1170g, 99480g] --- [11g, 99511g]  
99522g/1180g: [1180g, 99480g] --- [11g, 99511g]  
99522g/1190g: [1190g, 99480g] --- [11g, 99511g]  
99522g/1200g: [1200g, 99480g] --- [11g, 99511g]  
99522g/1210g: [1210g, 99480g] --- [11g, 99511g]  
99522g/1220g: [1220g, 99480g] --- [11g, 99511g]  
99522g/1230g: [1230g, 99480g] --- [11g, 99511g]  
99522g/1240g: [1240g, 99480g] --- [11g, 99511g]  
99522g/1250g: [1250g, 99480g] --- [11g, 99511g]  
99522g/1260g: [1260g, 99480g] --- [11g, 99511g]  
99522g/1270g: [1270g, 99480g] --- [11g, 99511g]  
99522g/1280g: [1280g, 99480g] --- [11g, 99511g]  
99522g/1290g: [1290g, 99480g] --- [11g, 99511g]  
99522g/1300g: [1300g, 99480g] --- [11g, 99511g]  
99522g/1310g: [1310g, 99480g] --- [11g, 99511g]  
99522g/1320g: [1320g, 99480g] --- [11g, 99511g]  
99522g/1330g: [1330g, 99480g] --- [11g, 99511g]  
99522g/1340g: [1340g, 99480g] --- [11g, 99511g]  
99522g/1350g: [1350g, 99480g] --- [11g, 99511g]  
99522g/1360g: [1360g, 99480g] --- [11g, 99511g]  
99522g/1370g: [1370g, 99480g] --- [11g, 99511g]  
99522g/1380g: [1380g, 99480g] --- [11g, 99511g]  
99522g/1390g: [1390g, 99480g] --- [11g, 99511g]  
99522g/1400g: [1400g, 99480g] --- [11g, 99511g]  
99522g/1410g: [1410g, 99480g] --- [11g, 99511g]  
99522g/1420g: [1420g, 99480g] --- [11g, 99511g]  
99522g/1430g: [1430g, 99480g] --- [11g, 99511g]  
99522g/1440g: [1440g, 99480g] --- [11g, 99511g]  
99522g/1450g: [1450g, 99480g] --- [11g, 99511g]  
99522g/1460g: [1460g, 99480g] --- [11g, 99511g]  
99522g/1470g: [1470g, 99480g] --- [11g, 99511g]  
99522g/1480g: [1480g, 99480g] --- [11g, 99511g]  
99522g/1490g: [1490g, 99480g] --- [11g, 99511g]  
99522g/1500g: [1500g, 99480g] --- [11g, 99511g]  
99522g/1510g: [1510g, 99480g] --- [11g, 99511g]  
99522g/1520g: [1520g, 99480g] --- [11g, 99511g]  
99522g/1530g: [1530g, 99480g] --- [11g, 99511g]  
99522g/1540g: [1540g, 99480g] --- [11g, 99511g]  
99522g/1550g: [1550g, 99480g] --- [11g, 99511g]  
99522g/1560g: [1560g, 99480g] --- [11g, 99511g]  
99522g/1570g: [1570g, 99480g] --- [11g, 99511g]  
99522g/1580g: [1580g, 99480g] --- [11g, 99511g]  
99522g/1590g: [1590g, 99480g] --- [11g, 99511g]  
99522g/1600g: [1600g, 99480g] --- [11g, 99511g]  
99522g/1610g: [1610g, 99480g] --- [11g, 99511g]  
99522g/1620g: [1620g, 99480g] --- [11g, 99511g]  
99522g/1630g: [1630g, 99480g] --- [11g, 99511g]  
99522g/1640g: [1640g, 99480g] --- [11g, 99511g]  
99522g/1650g: [1650g, 99480g] --- [11g, 99511g]  
99522g/1660g: [1660g, 99480g] --- [11g, 99511g]  
99522g/1670g: [1670g, 99480g] --- [11g, 99511g]  
99522g/1680g: [1680g, 99480g] --- [11g, 99511g]  
99522g/1690g: [1690g, 99480g] --- [11g, 99511g]  
99522g/1700g: [1700g, 99480g] --- [11g, 99511g]  
99522g/1710g: [1710g, 99480g] --- [11g, 99511g]  
99522g/1720g: [1720g, 99480g] --- [11g, 99511g]  
99522g/1730g: [1730g, 99480g] --- [11g, 99511g]  
99522g/1740g: [1740g, 99480g] --- [11g, 99511g]  
99522g/1750g: [1750g, 99480g] --- [11g, 99511g]  
99522g/1760g: [1760g, 99480g] --- [11g, 99511g]  
99522g/1770g: [1770g, 99480g] --- [11g, 99511g]  
99522g/1780g: [1780g, 99480g] --- [11g, 99511g]  
99522g/1790g: [1790g, 99480g] --- [11g, 99511g]  
99522g/1800g: [1800g, 99480g] --- [11g, 99511g]  
99522g/1810g: [1810g, 99480g] --- [11g, 99511g]  
99522g/1820g: [1820g, 99480g] --- [11g, 99511g]  
99522g/1830g: [1830g, 99480g] --- [11g, 99511g]  
99522g/1840g: [1840g, 99480g] --- [11g, 99511g]  
99522g/1850g: [1850g, 99480g] --- [11g, 99511g]  
99522g/1860g: [1860g, 99480g] --- [11g, 99511g]  
99522g/1870g: [1870g, 99480g] --- [11g, 99511g]  
99522g/1880g: [1880g, 99480g] --- [11g, 99511g]  
99522g/1890g: [1890g, 99480g] --- [11g, 99511g]  
99522g/1900g: [1900g, 99480g] --- [11g, 99511g]  
99522g/1910g: [1910g, 99480g] --- [11g, 99511g]  
99522g/1920g: [1920g, 99480g] --- [11g, 99511g]  
99522g/1930g: [1930g, 99480g] --- [11g, 99511g]  
99522g/1940g: [1940g, 99480g] --- [11g, 99511g]  
99522g/1950g: [1950g, 99480g] --- [11g, 99511g]  
99522g/1960g: [1960g, 99480g] --- [11g, 99511g]  
99522g/1970g: [1970g, 99480g] --- [11g, 99511g]  
99522g/1980g: [1980g, 99480g] --- [11g, 99511g]  
99522g/1990g: [1990g, 99480g] --- [11g, 99511g]  
99522g/2000g: [2000g, 99480g] --- [11g, 99511g]  
99522g/2010g: [2010g, 99480g] --- [11g, 99511g]  
99522g/2020g: [2020g, 99480g] --- [11g, 99511g]  
99522g/2030g: [2030g, 99480g] --- [11g, 99511g]  
99522g/2040g: [2040g, 99480g] --- [11g, 99511g]  
99522g/2050g: [2050g, 99480g] --- [11g, 99511g]  
99522g/2060g: [2060g, 99480g] --- [11g, 99511g]  
99522g/2070g: [2070g, 99480g] --- [11g, 99511g]  
99522g/2080g: [2080g, 99480g] --- [11g, 99511g]  
99522g/2090g: [2090g, 99480g] --- [11g, 99511g]  
99522g/2100g: [2100g, 99480g] --- [11g, 99511g]  
99522g/2110g: [2110g, 99480g] --- [11g, 99511g]  
99522g/2120g: [2120g, 99480g] --- [11g, 99511g]  
99522g/2130g: [2130g, 99480g] --- [11g, 99511g]  
99522g/2140g: [2140g, 99480g] --- [11g, 99511g]  
99522g/2150g: [2150g, 99480g] --- [11g, 99511g]  
99522g/2160g: [2160g, 99480g] --- [11g, 99511g]  
99522g/2170g: [2170g, 99480g] --- [11g, 99511g]  
99522g/2180g: [2180g, 99480g] --- [11g, 99511g]  
99522g/2190g: [2190g, 99480g] --- [11g, 99511g]  
99522g/2200g: [2200g, 99480g] --- [11g, 99511g]  
99522g/2210g: [2210g, 99480g] --- [11g, 99511g]  
99522g/2220g: [2220g, 99480g] --- [11g, 99511g]  
99522g/2230g: [2230g, 99480g] --- [11g, 99511g]  
99522g/2240g: [2240g, 99480g] --- [11g, 99511g]  
99522g/2250g: [2250g, 99480g] --- [11g, 99511g]  
99522g/2260g: [2260g, 99480g] --- [11g, 99511g]  
99522g/2270g: [2270g, 99480g] --- [11g, 99511g]  
99522g/2280g: [2280g, 99480g] --- [11g, 99511g]  
99522g/2290g: [2290g, 99480g] --- [11g, 99511g]  
99522g/2300g: [2300g, 99480g] --- [11g, 99511g]  
99522g/2310g: [2310g, 99480g] --- [11g, 99511g]  
99522g/2320g: [2320g, 99480g] --- [11g, 99511g]  
99522g/2330g: [2330g, 99480g] --- [11g, 99511g]  
99522g/2340g: [2340g, 99480g] --- [11g, 99511g]  
99522g/2350g: [2350g, 99480g] --- [11g, 99511g]  
99522g/2360g: [2360g, 99480g] --- [11g, 99511g]  
99522g/2370g: [2370g, 99480g] --- [11g, 99511g]  
99522g/2380g: [2380g, 99480g] --- [11g, 99511g]  
99522g/2390g: [2390g, 99480g] --- [11g, 99511g]  
99522g/2400g: [2400g, 99480g] --- [11g, 99511g]  
99522g/2410g: [2410g, 99480g] --- [11g, 99511g]  
99522g/2420g: [2420g, 99480g] --- [11g, 99511g]  
99522g/2430g: [2430g, 99480g] --- [11g, 99511g]  
99522g/2440g: [2440g, 99480g] --- [11g, 99511g]  
99522g/2450g: [2450g, 99480g] --- [11g, 99511g]  
99522g/2460g: [2460g, 99480g] --- [11g, 99511g]  
99522g/2470g: [2470g, 99480g] --- [11g, 99511g]  
99522g/2480g: [2480g, 99480g] --- [11g, 99511g]  
99522g/2490g: [2490g, 99480g] --- [11g, 99511g]  
99522g/2500g: [2500g, 99480g] --- [11g, 99511g]  
99522g/2510g: [2510g, 99480g] --- [11g, 99511g]  
99522g/2520g: [2520g, 99480g] --- [11g, 99511g]  
99522g/2530g: [2530g, 99480g] --- [11g, 99511g]  
99522g/2540g: [2540g, 99480g] --- [11g, 99511g]  
99522g/2550g: [2550g, 99480g] --- [11g, 99511g]  
99522g/2560g: [2560g, 99480g] --- [11g, 99511g]  
99522g/2570g: [2570g, 99480g] --- [11g, 99511g]  
99522g/2580g: [2580g, 99480g] --- [11g, 99511g]  
99522g/2590g: [2590g, 99480g] --- [11g, 99511g]  
99522g/2600g: [2600g, 99480g] --- [11g, 99511g]  
99522g/2610g: [2610g, 99480g] --- [11g, 99511g]  
99522g/2620g: [2620g, 99480g] --- [11g, 99511g]  
99522g/2630g: [2630g, 99480g] --- [11g, 99511g]  
99522g/2640g: [2640g, 99480g] --- [11g, 99511g]  
99522g/2650g: [2650g, 99480g] --- [11g, 99511g]  
99522g/2660g: [2660g, 99480g] --- [11g, 99511g]  
99522g/2670g: [2670g, 99480g] --- [11g, 99511g]  
99522g/2680g: [2680g, 99480g] --- [11g, 99511g]  
99522g/2690g: [2690g, 99480g] --- [11g, 99511g]  
99522g/2700g: [2700g, 99480g] --- [11g, 99511g]  
99522g/2710g: [2710g, 99480g] --- [11g, 99511g]  
99522g/2720g: [2720g, 99480g] --- [11g, 99511g]  
99522g/2730g: [2730g, 99480g] --- [11g, 99511g]  
99522g/2740g: [2740g, 99480g] --- [11g, 99511g]  
99522g/2750g: [2750g, 99480g] --- [11g, 99511g]  
99522g/2760g: [2760g, 99480g] --- [11g, 99511g]  
99522g/2770g: [2770g, 99480g] --- [11g, 99511g]  
99522g/2780g: [2780g, 99480g] --- [11g, 99511g]  
99522g/2790g: [2790g, 99480g] --- [11g, 99511g]  
99522g/2800g: [2800g, 99480g] --- [11g, 99511g]  
99522g/2810g: [2810g, 99480g] --- [11g, 99511g]  
99522g/2820g: [2820g, 99480g] --- [11g, 99511g]  
99522g/2830g: [2830g, 99480g] --- [11g, 99511g]  
99522g/2840g: [2840g, 99480g] --- [11g, 99511g]  
99522g/2850g: [2850g, 99480g] --- [11g, 99511g]  
99522g/2860g: [2860g, 99480g] --- [11g, 99511g]  
99522g/2870g: [2870g, 99480g] --- [11g, 99511g]  
99522g/2880g: [2880g, 99480g] --- [11g, 99511g]  
99522g/2890g: [2890g, 99480g] --- [11g, 99511g]  
99522g/2900g: [2900g, 99480g] --- [11g, 99511g]  
99522g/2910g: [2910g, 99480g] --- [11g, 99511g]  
99522g/2920g: [2920g, 99480g] --- [11g, 99511g]  
99522g/2930g: [2930g, 99480g] --- [11g, 99511g]  
99522g/2940g: [2940g, 99480g] --- [11g, 99511g]  
99522g/2950g: [2950g, 99480g] --- [11g, 99511g]  
99522g/2960g: [2960g, 99480g] --- [11g, 99511g]  
99522g/2970g: [2970g, 99480g] --- [11g, 99511g]  
99522g/2980g: [2980g, 99480g] --- [11g, 99511g]  
99522g/2990g: [2990g, 99480g] --- [11g, 99511g]  
99522g/3000g: [3000g, 99480g] --- [11g, 99511g]  
99522g/3010g: [3010g, 99480g] --- [11g, 99511g]  
99522g/3020g: [3020g, 99480g] --- [11g, 99511g]  
99522g/3030g: [3030g, 99480g] --- [11g, 99511g]  
99522g/3040g: [3040g, 99480g] --- [11g, 99511g]  
99522g/3050g: [3050g, 99480g] --- [11g, 99511g]  
99522g/3060g: [3060g, 99480g] --- [11g, 99511g]  
99522g/3070g: [3070g, 99480g] --- [11g, 99511g]  
99522g/3080g: [3080g, 99480g] --- [11g, 99511g]  
99522g/3090g: [3090g, 99480g] --- [11g, 99511g]  
99522g/3100g: [3100g, 99480g] --- [11g, 99511g]  
99522g/3110g: [3110g, 99480g] --- [11g, 99511g]  
99522g/3120g: [3120g, 99480g] --- [11g, 99511g]  
99522g/3130g: [3130g, 99480g] --- [11g, 99511g]  
99522g/3140g: [3140g, 99480g] --- [11g, 99511g]  
99522g/3150g: [3150g, 99480g] --- [11g, 99511g]  
99522g/3160g: [3160g, 99480g] --- [11g, 99511g]  
99522g/3170g: [3170g, 99480g] --- [11g, 99511g]  
99522g/3180g: [3180g, 99480g] --- [11g, 99511g]  
99522g/3190g: [3190g, 99480g] --- [11g, 99511g]  
99522g/3200g: [3200g, 99480g] --- [11g, 99511g]  
99522g/3210g: [3210g, 99480g] --- [11g, 99511g]  
99522g/3220g: [3220g, 99480g] --- [11g, 99511g]  
99522g/3230g: [3230g, 99480g] --- [11g, 99511g]  
99522g/3240g: [3240g, 99480g] --- [11g, 99511g]  
99522g/3250g: [3250g, 99480g] --- [11g, 99511g]  
99522g/3260g: [3260g, 99480g] --- [11g, 99511g]  
99522g/3270g: [3270g, 99480g] --- [11g, 99511g]  
99522g/3280g: [3280g, 99480g] --- [11g, 99511g]  
99522g/3290g: [3290g, 99480g] --- [11g, 99511g]  
99522g/3300g: [3300g, 99480g] --- [11g, 99511g]  
99522g/3310g: [3310g, 99480g] --- [11g, 99511g]  
99522g/3320g: [3320g, 99480g] --- [11g, 99511g]  
99522g/3330g: [3330g, 99480g] --- [11g, 99511g]  
99522g/3340g: [3340g, 99480g] --- [11g, 99511g]  
99522g/3350g: [3350g, 99480g] --- [11g, 99511g]  
99522g/3360g: [3360g, 99480g] --- [11g, 99511g]  
99522g/3370g: [3370g, 99480g] --- [11g, 99511g]  
99522g/3380g: [3380g, 99480g] --- [11g, 99511g]  
99522g/3390g: [3390g, 99480g] --- [11g, 99511g]  
99522g/3400g: [3400g, 99480g] --- [11g, 99511g]  
99522g/3410g: [3410g, 99480g] --- [11g, 99511g]  
99522g/3420g: [3420g, 99480g] --- [11g, 99511g]  
99522g/3430g: [3430g, 99480g] --- [11g, 99511g]  
99522g/3440g: [3440g, 99480g] --- [11g, 99511g]  
99522g/3450g: [3450g, 99480g] --- [11g, 99511g]  
99522g/3460g: [3460g, 99480g] --- [11g, 99511g]  
99522g/3470g: [3470g, 99480g] --- [11g, 99511g]  
99522g/3480g: [3480g, 99480g] --- [11g, 99511g]  
99522g/3490g: [3490g, 99480g] --- [11g, 99511g]  
99522g/3500g: [3500g, 99480g] --- [11g, 99511g]  
99522g/3510g: [3510g, 99480g] --- [11g, 99511g]  
99522g/3520g: [3520g, 99480g] --- [11g, 99511g]  
99522g/3530g: [3530g, 99480g] --- [11g, 99511g]  
99522g/3540g: [3540g, 99480g] --- [11g, 99511g]  
99522g/3550g: [3550g, 99480g] --- [11g, 99511g]  
99522g/3560g: [3560g, 99480g] --- [11g, 99511g]  
99522g/3570g: [3570g, 99480g] --- [11g, 99511g]  
99522g/3580g: [3580g, 99480g] --- [11g, 99511g]  
99522g/3590g: [3590g, 99480g] --- [11g, 99511g]  
99522g/3600g: [3600g, 99480g] --- [11g, 99511g]  
99522g/3610g: [3610g, 99480g] --- [11g, 99511g]  
99522g/3620g: [3620g, 99480g] --- [11g, 99511g]  
99522g/3630g: [3630g, 99480g] --- [11g, 99511g]  
99522g/3640g: [3640g, 99480g] --- [11g, 99511g]  
99522g/3650g: [3650g, 99480g] --- [11g, 99511g]  
99522g/3660g: [3660g, 99480g] --- [11g, 99511g]  
99522g/3670g: [3670g, 99480g] --- [11g, 99511g]  
99522g/3680g: [3680g, 99480g] --- [11g, 99511g]  
99522g/3690g: [3690g, 99480g] --- [11g, 99511g]  
99522g/3700g: [3700g, 99480g] --- [11g, 99511g]  
99522g/3710g: [3710g, 99480g] --- [11g, 99511g]  
99522g/3720g: [3720g, 99480g] --- [11g, 99511g]  
99522g/3730g: [3730g, 99480g] --- [11g, 99511g]  
99522g/3740g: [3740g, 99480g] --- [11g, 99511g]  
99522g/3750g: [3750g, 99480g] --- [11g, 99511g]  
99522g/3760g: [3760g, 99480g] --- [11g, 99511g]  
99522g/3770g: [3770g, 99480g] --- [11g, 99511g]  
99522g/3780g: [3780g, 99480g] --- [11g, 99511g]  
99522g/3790g: [3790g, 99480g] --- [11g, 99511g]  
99522g/3800g: [3800g, 99480g] --- [11g, 99511g]  
99522g/3810g: [3810g, 99480g] --- [11g, 99511g]  
99522g/3820g: [3820g, 99480g] --- [11g, 99511g]  
99522g/3830g: [3830g, 99480g] --- [11g, 99511g]  
99522g/3840g: [3840g, 99480g] --- [11g, 99511g]  
99522g/3850g: [3850g, 99480g] --- [11g, 99511g]  
99522g/3860g: [3860g, 99480g] --- [11g, 99511g]  
99522g/3870g: [3870g, 99480g] --- [11g, 99511g]  
99522g/3880g: [3880g, 99480g] --- [11g, 99511g]  
99522g/3890g: [3890g, 99480g] --- [11g, 99511g]  
99522g/3900g: [3900g, 99480g] --- [11g, 99511g]  
99522g/3910g: [3910g, 99480g] --- [11g, 99511g]  
99522g/3920g: [3920g, 99480g] --- [11g, 99511g]  
99522g/3930g: [3930g, 99480g] --- [11g, 99511g]  
99522g/3940g: [3940g, 99480g] --- [11g, 99511g]  
99522g/3950g: [3950g, 99480g] --- [11g, 99511g]  
99522g/3960g: [3960g, 99480g] --- [11g, 99511g]  
99522g/3970g: [3970g, 99480g] --- [11g, 99511g]  
99522g/3980g: [3980g, 99480g] --- [11g, 99511g]  
99522g/3990g: [3990g, 99480g] --- [11g, 99511g]  
99522g/4000g: [4000g, 99480g] --- [11g, 99511g]  
99522g/4010g: [4010g, 99480g] --- [11g, 99511g]  
99522g/4020g: [4020g, 99480g] --- [11g, 99511g]  
99522g/4030g: [4030g, 99480g] --- [11g, 99511g]  
99522g/4040g: [4040g, 99480g] --- [11g, 99511g]  
99522g/4050g: [4050g, 99480g] --- [11g, 99511g]  
99522g/4060g: [4060g, 99480g] --- [11g, 99511g]  
99522g/4070g: [4070g, 99480g] --- [11g, 99511g]  
99522g/4080g: [4080g, 99480g] --- [11g, 99511g]  
99522g/4090g: [4090g, 99480g] --- [11g, 99511g]  
99522g/4100g: [4100g, 99480g] --- [11g, 99511g]  
99522g/4110g: [4110g, 99480g] --- [11g, 99511g]  
99522g/4120g: [4120g, 99480g] --- [11g, 99511g]  
99522g/4130g: [4130g, 99480g] --- [11g, 99511g]  
99522g/4140g: [4140g, 99480g] --- [11g, 99511g]  
99522g/4150g: [4150g, 99480g] --- [11g, 99511g]  
99522g/4160g: [4160g, 99480g] --- [11g, 99511g]  
99522g/4170g: [4170g, 99480g] --- [11g, 99511g]  
99522g/4180g: [4180g, 99480g] --- [11g, 99511g]  
99522g/4190g: [4190g, 99480g] --- [11g, 99511g]  
99522g/4200g: [4200g, 99480g] --- [11g, 99511g]  
99522g/4210g: [4210g, 99480g] --- [11g, 99511g]  
99522g/4220g: [4220g, 99480g] --- [11g, 99511g]  
99522g/4230g: [4230g, 99480g] --- [11g, 99511g]  
99522g/4240g: [4240g, 99480g] --- [11g, 99511g]  
99522g/4250g: [4250g, 99480g] --- [11g, 99511g]  
99522g/4260g: [4260g, 99480g] --- [11g, 99511g]  
99522g/4270g: [4270g, 99480g] --- [11g, 99511g]  
99522g/4280g: [4280g, 99480g] --- [11g, 99511g]  
99522g/4290g: [4290g, 99480g] --- [11g, 99511g]  
99522g/4300g: [4300g, 99480g] --- [11g, 99511g]  
99522g/4310g: [4310g, 99480g] --- [11g, 99511g]  
99522g/4320g: [4320g, 99480g] --- [11g, 99511g]  
99522g/4330g: [4330g, 99480g] --- [11g, 99511g]  
99522g/4340g: [4340g, 99480g] --- [11g, 99511g]  
99522g/4350g: [4350g, 99480g] --- [11g, 99511g]  
99522g/4360g: [4360g, 99480g] --- [11g, 99511g]  
99522g/4370g: [4370g, 99480g] --- [11g, 99511g]  
99522g/4380g: [4380g, 99480g] --- [11g, 99511g]  
99522g/4390g: [4390g, 99480g] --- [11g, 99511g]  
99522g/4400g: [4400g, 99480g] --- [11g, 99511g]  
99522g/4410g: [4410g, 99480g] --- [11g, 99511g]  
99522g/4420g: [4420g, 99480g] --- [11g, 99511g]  
99522g/4430g: [4430g, 99480g] --- [11g, 99511g]  
99522g/4440g: [4440g, 99480g] --- [11g, 99511g]  
99522g/4450g: [4450g, 99480g] --- [11g, 99511g]  
99522g/4460g: [4460g, 99480g] --- [11g, 99511g]  
99522g/4470g: [4470g, 99480g] --- [11g, 99511g]  
99522g/4480g: [4480g, 99480g] --- [11g, 99511g]  
99522g/4490g: [4490g, 99480g] --- [11g, 99511g]  
99522g/4500g: [4500g, 99480g] --- [11g, 99511g]  
99522g/4510g: [4510g, 99480g] --- [11g, 99511g]  
99522g/4520g: [4520g, 99480g] --- [11g, 99511g]  
99522g/4530g: [4530g, 99480g] --- [11g, 99511g]  
99522g/4540g: [4540g, 99480g] --- [11g, 99511g]  
99522g/4550g: [4550g, 99480g] --- [11g, 99511g]  
99522g/4560g: [4560g, 99480g] --- [11g, 99511g]  
99522g/4570g: [4570g, 99480g] --- [11g, 99511g]  
